from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,lr_scheduler,max_n_segments,num_mem_tokens,model_path,num_steps,exact_match,k2,freeze_model_weights
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,2,linear,32,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_vary/run_1,5000.0,0.9139999747276306,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,0.0001,16,linear,4,32.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr1e-04_linear_adamw_wd1e-03_4x512_mem32_bs64_bptt--1_vary/run_1,5000.0,0.9980000257492065,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,0.0001,8,linear,8,32.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr1e-04_linear_adamw_wd1e-03_8x512_mem32_bs64_bptt--1_vary/run_1,5000.0,0.9950000047683716,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,0.0001,16,linear,4,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr1e-04_linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_vary/run_1,5000.0,0.996999979019165,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,0.0001,4,linear,16,32.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr1e-04_linear_adamw_wd1e-03_16x512_mem32_bs64_bptt--1_vary/run_1,5000.0,0.9539999961853027,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,0.0001,8,linear,8,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr1e-04_linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_vary/run_1,5000.0,0.9980000257492065,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,0.0001,4,linear,16,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr1e-04_linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_vary/run_1,5000.0,0.9860000014305115,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,0.0001,2,linear,32,32.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr1e-04_linear_adamw_wd1e-03_32x512_mem32_bs64_bptt--1_vary/run_1,1950.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,0.0001,2,linear,32,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr1e-04_linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_vary/run_1,750.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,4,linear,16,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_from_cpt_4-16_vary/run_1,5000.0,0.9959999918937683,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,64,linear,1,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_from_cpt_0-1/run_4,2000.0,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,64,linear,1,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_from_cpt_0-1/run_5,2000.0,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,64,linear,1,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_from_cpt_0-1/run_6,2000.0,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,4,linear,16,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_from_cpt_8-16_vary/run_1,5000.0,0.984000027179718,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,2,linear,32,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_from_cpt_4-32_vary/run_1,5000.0,0.9950000047683716,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,2,linear,32,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_from_cpt_8-32_vary/run_1,5000.0,0.9409999847412109,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,1,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_eval_from_32x512_vary_from_cpt/run_1,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,32,linear,2,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_32x512_vary_from_cpt/run_1,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,16,linear,4,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_from_32x512_vary_from_cpt/run_1,,0.9969969987869263,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,linear,8,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_eval_from_32x512_vary_from_cpt/run_1,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,4,linear,16,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_eval_from_32x512_vary_from_cpt/run_1,,0.9969969987869263,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,2,linear,32,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_eval_from_32x512_vary_from_cpt/run_1,,0.9919919967651367,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,1,linear,64,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_64x512_mem16_bs64_bptt--1_eval_from_32x512_vary_from_cpt/run_1,,0.9809809923171997,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,1,linear,128,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_128x512_mem16_bs64_bptt--1_eval_from_32x512_vary_from_cpt/run_1,,0.9569569826126099,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,1,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_eval_from_4x512_vary/run_1,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,2,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_4x512_vary/run_1,,0.9969969987869263,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,32,linear,4,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_from_4x512_vary/run_1,,0.9969969987869263,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,16,linear,8,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_eval_from_4x512_vary/run_1,,0.9839839935302734,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,linear,16,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_eval_from_4x512_vary/run_1,,0.8558558821678162,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,4,linear,32,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_eval_from_4x512_vary/run_1,,0.6066066026687622,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,2,linear,64,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_64x512_mem16_bs64_bptt--1_eval_from_4x512_vary/run_1,,0.43143144249916077,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,1,linear,256,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_256x512_mem16_bs64_bptt--1_eval_from_32x512_vary_from_cpt/run_1,,0.9389389157295227,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,1,linear,128,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_128x512_mem16_bs64_bptt--1_eval_from_4x512_vary/run_1,,0.30730730295181274,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,1,linear,256,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_256x512_mem16_bs64_bptt--1_eval_from_4x512_vary/run_1,,0.23923924565315247,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,1,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_eval_from_8x512_vary_from_cpt/run_1,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,1,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_eval_from_8x512_vary_from_cpt/run_1,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,2,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_8x512_vary_from_cpt/run_1,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,32,linear,4,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_from_8x512_vary_from_cpt/run_1,,0.9969969987869263,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,16,linear,8,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_eval_from_8x512_vary_from_cpt/run_1,,0.9869869947433472,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,linear,16,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_eval_from_8x512_vary_from_cpt/run_1,,0.955955982208252,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,4,linear,32,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_eval_from_8x512_vary_from_cpt/run_1,,0.7997997999191284,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,2,linear,64,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_64x512_mem16_bs64_bptt--1_eval_from_8x512_vary_from_cpt/run_1,,0.6106106042861938,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,1,linear,128,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_128x512_mem16_bs64_bptt--1_eval_from_8x512_vary_from_cpt/run_1,,0.43143144249916077,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,2,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_from_cpt_1-2/run_4,5000.0,0.9739999771118164,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,2,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_from_cpt_1-2/run_4,5000.0,0.9559999704360962,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,2,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_from_cpt_1-2/run_5,5000.0,0.9739999771118164,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,2,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_from_cpt_1-2/run_6,5000.0,0.968999981880188,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,4,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_from_cpt_2-4/run_4,5000.0,0.9900000095367432,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,4,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_from_cpt_2-4/run_4,5000.0,0.9950000047683716,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,4,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_from_cpt_2-4/run_5,5000.0,0.9909999966621399,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,4,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_from_cpt_2-4/run_6,5000.0,0.9929999709129333,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,6,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_6x512_mem16_bs64_bptt--1_from_cpt_4-6/run_4,5000.0,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,6,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_6x512_mem16_bs64_bptt--1_from_cpt_4-6/run_4,5000.0,0.9929999709129333,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,6,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_6x512_mem16_bs64_bptt--1_from_cpt_4-6/run_5,5000.0,0.9950000047683716,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,6,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_6x512_mem16_bs64_bptt--1_from_cpt_4-6/run_6,5000.0,0.9959999918937683,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,8,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_from_cpt_6-8/run_4,750.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,8,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_from_cpt_6-8/run_4,5000.0,0.996999979019165,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,8,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_from_cpt_6-8/run_5,5000.0,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,8,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_from_cpt_6-8/run_6,5000.0,0.996999979019165,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,4,linear,16,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_from_cpt_8-16/run_4,1000.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,4,linear,16,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_from_cpt_8-16/run_4,5000.0,0.9959999918937683,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,4,linear,16,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_from_cpt_8-16/run_5,5000.0,0.9980000257492065,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,4,linear,16,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_from_cpt_8-16/run_6,5000.0,0.9950000047683716,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,linear,32,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_from_cpt_16-32/run_4,1600.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,linear,32,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_from_cpt_16-32/run_4,1650.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,linear,32,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_from_cpt_16-32/run_5,4750.0,0.9990000128746033,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,linear,32,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_from_cpt_16-32/run_6,4450.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,linear,64,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_64x512_mem16_bs64_bptt--1_from_cpt_32-64/run_4,3050.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,linear,64,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_64x512_mem16_bs64_bptt--1_from_cpt_32-64/run_4,3050.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,256,linear,1,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_eval_from_64x512/run_4,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,2,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_64x512/run_4,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,4,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_from_64x512/run_4,,0.9979979991912842,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,32,linear,8,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_eval_from_64x512/run_4,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,16,linear,16,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_eval_from_64x512/run_4,,0.9989989995956421,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,linear,32,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_eval_from_64x512/run_4,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,4,linear,64,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_64x512_mem16_bs64_bptt--1_eval_from_64x512/run_4,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,1,linear,128,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_128x512_mem16_bs64_bptt--1_eval_from_64x512/run_4,,0.9969969987869263,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,1,linear,256,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_256x512_mem16_bs64_bptt--1_eval_from_64x512/run_4,,0.9919919967651367,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,2,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_64x512_long/run_4,,0.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,2,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_64x512_long/run_4,,0.08808808773756027,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,2,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_64x512_long/run_4,,0.2842842936515808,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,2,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_64x512_long/run_4,,0.2842842936515808,-1,False
